column,start,length
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3216,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3224,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3232,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL),3242,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION),3248,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT),3254,5
% OF STUDENTS NOT TAKING READING TESTS (STATE),3260,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL),3266,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION),3272,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT),3278,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE),3284,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3290,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3296,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3304,7
